publishedAt	authorDisplayName	textDisplay	likeCount
2024-11-09T10:33:35Z	@KunthiKunthi-b9z	Saya awalnya salah masukin noer rekening,pas menang mau Tarik uang ternyata nomor rek saya ad yg salah satu,,pas mau ganti disuruh biaya 333.333..dan saya ikutin,eh bener dong nomornya udah diganti,trus disuruh transfer 500rb buat biaya adminnya,,,gimana ni min	0
2024-11-08T07:55:56Z	@ZahraSwiiss	Keponakan saya kalah 200 JT. Smpai skg masih byr hutang blm selesai <br>Mantan suamiku 300 JT ancor sudah kluargaku<br>Emang² bikin gila itu judi slot	0
2024-11-07T09:34:28Z	@srinurhayati8150	kebanyakan rumah tangganya hancur banyak yg pisah  gara gara judi	0
2024-11-06T20:19:31Z	@asukabeh8252	Menang gag dibayar langsung di blokir apalagi judi togel hadiah lebih besar kmengan	0
2024-11-06T10:38:25Z	@ihsanbesari	Baru awal main da ancur banyak aku😂500k belum pernah wd..padahal member baru.	0
2024-11-05T17:37:24Z	@rm.chanel9121	Stop dah main slot saya pesan yang masih main berhneti bisa bamgkrutt saya yakin..memang sekali kalah bisa 4 x	0
2024-11-05T05:31:35Z	@Syahril-e8f	Pertama main depo50 menang 5 juta akhirnya disodot semua	0
2024-11-04T13:54:58Z	@Ikipajariah	Situs nipu jelas penipu situs nipu jelas	0
2024-11-03T09:51:14Z	@Dewanam1985	PEMERINTAH TIDAK BISA BERANTAS KHUSUSNYA BANDAR JUDOL...!!!<br>PEMERINTAHAN = GAGAL..!!!!<br>PADAHAL SANGAT MUDAH BAGI PEMERINTAH...!!!!<br>BANDAR SELALU DEKAT DENGAN ORANG ORANG PEMERINTAHAN...!!!	0
2024-11-03T09:50:59Z	@Dewanam1985	PEMERINTAH TIDAK BISA BERANTAS KHUSUSNYA BANDAR JUDOL...!!!!<br>PEMERINTAHAN = GAGAL..!!!!<br>PADAHAL SANGAT MUDAH BAGI PEMERINTAH...!!!!!<br>BANDAR SELALU DEKAT DENGAN ORANG ORANG PEMERINTAHAN...!!!	0
2024-11-03T09:50:44Z	@Dewanam1985	PEMERINTAH TIDAK BISA BERANTAS KHUSUSNYA BANDAR JUDOL...!!!!<br>PEMERINTAHAN = GAGAL..!!!!<br>PADAHAL SANGAT MUDAH BAGI PEMERINTAH...!!!!<br>BANDAR SELALU DEKAT DENGAN ORANG ORANG PEMERINTAHAN...!!!	0
2024-11-03T01:43:57Z	@dodisupriyadi2776	Judi onlin yang kalah 90 orang yang menang 10 orang.....pola pikir jadi ketagihan.....pemerintah dulu ngapain aja ko bisa di biar kan . Usut tuntas pemerintah dlu uang melindungi judi onlien	0
2024-11-02T09:21:46Z	@LoneWolf-zj9vz	PRESENTASE nya 90% - 10% , Tapi malangnya setiap orang merasa dia yg 10 % makanya susah diberantas	0
2024-11-02T08:47:58Z	@sinarterangexpress8456	percuma ..sudah tau penipuan masih dibiarkan merajalela..itulah hukum di +62	0
2024-11-01T02:33:15Z	@anjayyaja6628	Aku udah 5bulan berhnti alhmdulillah hidup lebih baik dan ❤❤ tiap hari bahgia ☺️ Tampa Main game lagi	0
2024-10-31T16:16:09Z	@HacavuPoniha	event makan gratis ada di CEMARA123 sama GEMOY123 bosku	0
2024-10-31T14:19:38Z	@Rudi-vp3nl	Bang ak minta link ya 🙏🙏	0
2024-10-29T17:30:13Z	@dedekmaulana8213	Yayayaya...,, Gue akui itu memang benar..,, tapi entah kenapa semua orang kalau sudah kena slot seperti terhipnotis walaupun kalah melulu kejadiannya...!!  😂😂😂😂	0
2024-10-29T14:37:30Z	@mahgilove	Tegol mlm ini dong😅	0
2024-10-29T11:10:54Z	@zibonsoeth6815	Cuma saran aja.<br>Jika ada teman atau saudara yg curhat bahwa dia mau berhenti judi online. Jangan pernah di dengar<br>Ingat para penjudi itu pintar merangkai kata. Segala cara akan di lakukan untuk mendapatkan uang termasuk menipu teman/saudara sendiri<br><br>Kisah nyata dari saya.<br>Ada temen saya. Gara2 judi online dia banyak banget hutang, rumah tangga hancur, anak terlantar hingga kerja di pecat gara menggelapkan uang.<br>Bukan nya memperbaiki diri sebalik nya dia menggunakan kesempatan itu buat nyari simpati orang<br>Dengan mendatangi teman2 nya.. berbicara bahwa dia sudah tidak bekerja dan mau nyari lg. Ingin melunasi hutang2 nya<br>Dengan demikian orang iba kepada dia hingga mengeluarkan uang buat membantu dia.<br>Pernah curhat ke saya.. dan saya pun  tersentuh hingga meminjamkan uang 8jt, karna dia bilang total hutang dia 8jt di luar<br>Belum genap satu hari dia mau pinjem lg 10jt dengan alasan mau usaha. saya bingung nih orang baru kemaren pinjem. Saya bilang ga ada lagi<br>Seperti biasa penjudi itu pandai merangkai kata <br>saya ngasih lg 5jt.<br>Belum genap 3 jam dia minjem lagi 5jt.<br>Disitu saya kesal dan menolak nya<br>Saya mencari tahu ke teman yg lain ternyata hutang dia udah banyak dimana mana.<br>Bahakan uang buat makan dari warga aja bukan di pake makan tapi di pakai judi <br><br>Ingat jangan pernah membatu penjudi. Biarkan mereka mati membusuk<br>Sejati nya orang ingin berubah itu bisa dengan sendiri tanpa harus butuh bantuan orang lain	0
2024-10-28T05:09:43Z	@ekiratomi	Lah kek binary option. -100/+90	0
2024-10-27T15:17:38Z	@SaverNgeha	Olx toto situs penipu,besar wd cuma 200000,akun di blokir	0
2024-10-25T18:39:26Z	@LukmanHakim-rt4ly	Setelah nonton pembuktian bahwa slot semua memang setingan. Semua sudah di seting bener² 100% di bodohin dan tipu abis²an. Yg masih main perhatiin permainannya jauh berbeda. Berhenti mereka makin rakus. Bed sengaja di naikkan biar mereka makin kaya....	0
2024-10-24T13:21:26Z	@acingacing9883	gw sama temen gw isi ceban dpt gocap well	0
2024-10-24T05:52:53Z	@torpedomantul-hi2kg	roy sakti ini siapa y	0
2024-10-22T08:25:21Z	@Aya-oe9gw	Cape bgt sbnernya,smpe gua dituduh ibumertua gua difitnah ke keluarganya ,gua dbilang boros pdhl anknya slot trus	0
2024-10-20T21:00:16Z	@lalakoncinta1270	Gk bisa berhenti bang slot itu. Kecuali gk punya hp, dan gk punya duit.  Sehari gk nyepin rasanya sepi,rasanya hampa. Kecuali main game online lain. .	2
2024-10-20T15:22:19Z	@syahrirmauluddin1001	Menang ketagihan plus ajak temen😂	0
