publishedAt,authorDisplayName,textDisplay,likeCount
2024-11-15T16:33:12Z,@amirul40,Terima kasih,1
2024-11-14T23:53:11Z,@greencute231,"Orang terdekat sudah bertekad buat berhenti main. Tapi belum setahun sudah main lagi😢 gak tau gimana nyadarinnya, semoga segera sadar. Karena ada istri yang sebentar lagi bakal lahiran",0
2024-11-14T14:08:33Z,@ilhamdewanggas4746,suara kapurnyaa 😵‍💫,0
2024-11-14T06:12:02Z,@masdab9994,"Skrg promo judol beralih saat  akun medsos di smua platform lg LIVE ,gw jg curiga media² besar berita terafiliasi waluapun itu jg mudah d bantah mereka,,knp sy curiga krn stia media berita besar itu live selalu yg hadir dn komen 95% promo judol ,,bhkn iklan² di medsos jg msh byk bgt yg apabl kta report ga ada lgi pilihan laporan tentang perjudian pdhl dulu ada ,,nah anehnya jg stiap kita report iklan judol justru lbh byk muncul lg,,kyaknya jln terbaik medsos² di bekukan dl sblm mereka bersih dr judol,",1
2024-11-14T00:41:21Z,@Dan_ang,mirisnya muncul iklan judol di video in,0
2024-11-12T11:49:21Z,@muhammadfirdaus6481,Real el professor Indonesia. Bella ciao🔥,0
2024-11-12T07:41:02Z,@andretegar2242,"&quot;kalau ada yg mati karna judi online, tangan kalian berdarah karna itu&quot;. Influenza said &quot;Bodo amat, penting gw kaya boss, wong semua bisa di beli pake uang <a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>",1
2024-11-12T04:02:38Z,@joehanafi,judi online sama buruknya dengan narkoba,1
2024-11-11T07:37:19Z,@yogyp6963,"Lanjutkan bang, support terus.",0
2024-11-11T06:20:18Z,@redyaryadi2964,"emang dasar keparat influencer judol, bikin rusak moral bangsa saja. lebih parahnya mereka bikin peredaran uang di bahkan sampai pelosok desa pun kerasa betul uang nih rada kering. berasa banget bukan cuma di berita",1
2024-11-11T00:38:10Z,@Jakartans1312,"Selain Influencer, juga pengaruh paylater2 yg dengan mudah ngasih Hutang, judol,influencer pengiklan judol dan paylater sebuah lingkaran setan",0
2024-11-11T00:21:41Z,@raihanmr5523,Konsisten buat basmi judi bang gua yakin di lindungi di sini 😢,0
2024-11-10T23:30:10Z,@ariwidyasworo5462,Ingat bandar judi dan pemain judi dan yang mempromosikan judol. Ingat kau akan jadi bahan bakar API NERAKA,0
2024-11-10T12:40:02Z,@antodatuk3835,di bilang tolol.... kadang pinter. kebanyakan ngayal ky y,0
2024-11-10T09:49:17Z,@Radikalboyz,"Related bgt nih, bokap gw supir angkot yg gila judi, duit setoran bekurang terus2an entah kmn larinya, hutangpun numpuk, barang2 dijual, rumah tangga ancur ribut besar bikin hampir cerai sm nyokap, sekolah anak2nya nunggak dan nyaris putus bahkan hampir gagal kuliah walau lulus PTN tp Alhamdulillah periode itu terlewati dan skrg udh kerja di salah satu BUMN yg mana bisa sampe punya rumah sendiri bahkan berhasil nguliahin ade gw S1..asli sampe sekarang benci bgt sm judi karna liat bgt gmn efek hancurnya, mirisnya skrg yg jd korban adalah tmn2 kuliah dan kantor😢<br><br>Terima kasih kontennya bang, i&#39;m always on your side..mari perangi smua jenis judi🤜",0
